code,name,time,open,close,high,low,pe,turnover_rate,vol,amount,change_rate,pre_close,forward_A,forward_B,backward_A,backward_B
US.AAPL,苹果,20140318,525.9,531.4,531.97,525.2,0.0,1.1400000000000001,7487409,0.0,0.8846869423244804,526.74,,,,
US.AAPL,苹果,20140319,532.26,531.26,536.24,529.0,0.0,1.222,8026994,0.0,-0.026345502446365517,531.4,,,,
US.AAPL,苹果,20140320,529.89,528.7,532.67,527.35,0.0,1.133,7442791,0.0,-0.4818732823852625,531.26,,,,
US.AAPL,苹果,20140321,531.93,532.87,533.75,526.33,0.0,2.035,13373167,0.0,0.7887270663892488,528.7,,,,
US.AAPL,苹果,20140324,538.42,539.19,540.5,535.06,0.0,1.933,12703553,0.0,1.186030363878629,532.87,,,,
US.AAPL,苹果,20140325,541.5,544.99,545.75,539.59,0.0,1.534,10081908,0.0,1.075687605482289,539.19,,,,
US.AAPL,苹果,20140326,546.52,539.78,549.0,538.86,0.0,1.629,10706032,0.0,-0.9559808436852119,544.99,,,,
US.AAPL,苹果,20140327,540.015,537.46,541.5,535.12,0.0,1.207,7929668,0.0,-0.42980473526250257,539.78,,,,
US.AAPL,苹果,20140328,538.32,536.86,538.94,534.25,0.0,1.09,7163009,0.0,-0.11163621478808147,537.46,,,,
US.AAPL,苹果,20140331,539.23,536.74,540.81,535.93,0.0,0.9169999999999999,6023884,0.0,-0.022352196103267993,536.86,,,,
US.AAPL,苹果,20140401,537.76,541.65,541.87,536.77,0.0,1.091,7169955,0.0,0.9147818310541357,536.74,,,,
US.AAPL,苹果,20140402,542.38,542.55,543.48,540.26,0.0,0.9809999999999999,6443553,0.0,0.16615895873718772,541.65,,,,
US.AAPL,苹果,20140403,541.39,538.79,542.5,537.64,0.0,0.8840000000000001,5806873,0.0,-0.6930236844530442,542.55,,,,
US.AAPL,苹果,20140404,539.81,531.82,540.0,530.58,0.0,1.496,9830355,0.0,-1.293639451363224,538.79,,,,
US.AAPL,苹果,20140407,528.02,523.47,530.9,521.89,0.0,1.575,10351790,0.0,-1.5700801022902526,531.82,,,,
US.AAPL,苹果,20140408,525.19,523.44,526.12,518.7,0.0,1.3259999999999998,8710269,0.0,-0.005730987449132274,523.47,,,,
US.AAPL,苹果,20140409,522.64,530.32,530.49,522.02,0.0,1.121,7363246,0.0,1.3143817820571593,523.44,,,,
US.AAPL,苹果,20140410,530.68,523.48,532.24,523.17,0.0,1.303,8558974,0.0,-1.2897872982350338,530.32,,,,
US.AAPL,苹果,20140411,519.0,519.61,522.83,517.14,0.0,1.478,9710716,0.0,-0.7392832581951564,523.48,,,,
US.AAPL,苹果,20140414,521.9,521.68,522.16,517.21,0.0,1.119,7349311,0.0,0.3983757048555525,519.61,,,,
US.AAPL,苹果,20140415,520.27,517.96,521.64,511.33,0.0,1.448,9517511,0.0,-0.7130808158257771,521.68,,,,
