code,time,open,close,high,low,vol,amount
US.AAPL,20140318,-1.0943077291179346,-1.0911882951813299,-1.0938114962136074,-1.091729335146399,1.0194050321679302,-1.2549646256126712
US.AAPL,20140319,-1.090500989540171,-1.0912720219695273,-1.0912823597883967,-1.0894319920745117,1.2152870724860343,-1.2549646256126712
US.AAPL,20140320,-1.091919538722451,-1.0928030260965673,-1.0933968836848842,-1.0904295226188838,1.0032076492256448,-1.2549646256126712
US.AAPL,20140321,-1.0906985090465644,-1.0903091639052562,-1.092757195783426,-1.0910461778644958,3.1560735567907483,-1.2549646256126712
US.AAPL,20140324,-1.0868139587541605,-1.0865294974666264,-1.0887591463993105,-1.0857683344388176,2.912987932569232,-1.2549646256126712
US.AAPL,20140325,-1.0849704433611556,-1.0830608162413018,-1.0856495524338876,-1.0830296596715412,1.9612691642755324,-1.2549646256126712
US.AAPL,20140326,-1.0819657526881405,-1.0861766488592228,-1.0837245656933876,-1.0834709913669303,2.187840849054569,-1.2549646256126712
US.AAPL,20140327,-1.085859281139926,-1.0875641213493525,-1.088166842786849,-1.0857320606008405,1.1799554464104396,-1.2549646256126712
US.AAPL,20140328,-1.0868738131500373,-1.0879229504416275,-1.0896831400347504,-1.0862580312515093,0.901640205719469,-1.2549646256126712
US.AAPL,20140331,-1.0863291381475586,-1.0879947162600827,-1.0885755322794475,-1.0852423637881488,0.48811105057735016,-1.2549646256126712
US.AAPL,20140401,-1.0872089977669475,-1.085058298188299,-1.0879476904502383,-1.0847345300564684,0.9041617670157421,-1.2549646256126712
US.AAPL,20140402,-1.0844437246774397,-1.0845200545498865,-1.0869940816341752,-1.0826246018141297,0.640460763742576,-1.2549646256126712
US.AAPL,20140403,-1.08503628319662,-1.0867687168614766,-1.0875745391743876,-1.0842085594057995,0.409330955779548,-1.2549646256126712
US.AAPL,20140404,-1.0859819826514732,-1.0909371148167373,-1.0890552982055413,-1.0884767810077796,1.869949511416131,-1.2549646256126712
US.AAPL,20140407,-1.0930388159253468,-1.0959308196842308,-1.094445261078941,-1.0937304418748064,2.0592426750386754,-1.2549646256126712
US.AAPL,20140408,-1.09473269532866,-1.0959487611388445,-1.0972764723465074,-1.095659000927259,1.4633319608694262,-1.2549646256126712
US.AAPL,20140409,-1.0962589824235183,-1.0918341875474247,-1.0946881055600504,-1.093651848559189,0.974330944170642,-1.2549646256126712
US.AAPL,20140410,-1.0914466889950243,-1.0959248391993597,-1.0936515742382427,-1.09295659999796,1.4084083190151724,-1.2549646256126712
US.AAPL,20140411,-1.0984376824334332,-1.0982392868445332,-1.0992251512315057,-1.0966021207146655,1.826517741775356,-1.2549646256126712
US.AAPL,20140414,-1.0967019049530062,-1.0970013264761846,-1.099621994651855,-1.0965598012370255,0.9692722115671917,-1.2549646256126712
US.AAPL,20140415,-1.097677531605798,-1.0992260668482894,-1.099929992530335,-1.100114637358788,1.7563797846422644,-1.2549646256126712
US.AAPL,20140416,-1.0990062991942628,-1.0985981159368081,-1.1002557595171887,-1.0984188354333553,1.0879195481669974,-1.2549646256126712
US.AAPL,20140417,-1.0978391384746653,-1.0950516884081571,-1.0963050944220702,-1.095356718944116,1.9889297405740543,-1.2549646256126712
US.AAPL,20140421,-1.0946429137348448,-1.0913258463333686,-1.093710804599489,-1.0924789944645938,0.6697131981298047,-1.2549646256126712
US.AAPL,20140422,-1.092865238177304,-1.0910094786836795,-1.0938967879338017,-1.0909427974262609,0.9287834735170999,-1.2549646256126712
US.AAPL,20140423,-1.0924163302082281,-1.0951653176207108,-1.094309031248075,-1.0921827581211137,3.4217595726132988,-1.2549646256126712
